epoch,accuracy,loss,val_accuracy,val_loss
0,0.3877664,1.3204330925528376,0.4870316982269287,1.2657843481223248
1,0.6864102,0.9288690314872292,0.6714697480201721,0.8924552123209929
2,0.81068367,0.5445493701386577,0.6829971075057983,0.7832880770782229
3,0.85053974,0.4008651038566323,0.7175792455673218,0.777842464982948
4,0.8848602,0.3169331682658809,0.6916426420211792,0.8428419220344477
5,0.90977025,0.261662503935906,0.6916426420211792,0.9091884148567485
6,0.926377,0.21862142341076882,0.6657060384750366,0.9363680703495696
7,0.94492114,0.17970556475236546,0.6772334575653076,1.0714583448443014
8,0.9565458,0.1519554041546697,0.6599423885345459,1.0744019492558856
9,0.9582065,0.1374328257894948,0.6772334575653076,1.1626660047415698
10,0.9615278,0.12026487497693773,0.6714697480201721,1.187409731427943
11,0.9648492,0.11810860422190095,0.6743515729904175,1.2319537150413227
12,0.9692776,0.1018241572554937,0.6426513195037842,1.2815271564450663
13,0.9706615,0.09660868034686469,0.6685879230499268,1.3068693752591136
14,0.9706615,0.09454064559085264,0.6714697480201721,1.3510299725216472
15,0.9728757,0.0895983015836407,0.6628242135047913,1.3613444047977326
16,0.97370607,0.08281439150547737,0.6628242135047913,1.424181508056025
17,0.97592026,0.07483430801708547,0.6599423885345459,1.4198049482076243
18,0.9742596,0.07600149350875456,0.6714697480201721,1.4382822857122943
19,0.97592026,0.07180383571426426,0.6599423885345459,1.4805918602160144
20,0.97619706,0.07411838789338258,0.6570605039596558,1.4970485765583577
21,0.97508997,0.0719038265569864,0.6657060384750366,1.5210400046807544
22,0.97619706,0.07330108493455156,0.6628242135047913,1.5707891434001648
23,0.97758096,0.06401271440517678,0.6599423885345459,1.6244477311884635
24,0.9770274,0.06729779082125915,0.6599423885345459,1.5668636357749917
